word,freq_zipf,language,source,n_density,old20
allies,4.27,en,wordfreq,1,2.35
allison,3.78,en,wordfreq,0,2.9
allocated,3.83,en,wordfreq,0,3.6
allow,5.01,en,wordfreq,0,1.95
allowance,3.85,en,wordfreq,0,3.85
allowed,5.03,en,wordfreq,0,2.75
allowing,4.62,en,wordfreq,0,2.85
allows,4.67,en,wordfreq,0,2.55
ally,4.1,en,wordfreq,0,1.8
almost,5.39,en,wordfreq,0,2.85
alone,5.16,en,wordfreq,1,1.9
along,5.38,en,wordfreq,2,1.95
alongside,4.45,en,wordfreq,0,4.6
alot,3.93,en,wordfreq,2,1.8
alpha,4.25,en,wordfreq,0,2.95
already,5.55,en,wordfreq,0,2.95
alright,4.42,en,wordfreq,0,2.7
also,6.19,en,wordfreq,0,2.0
alt,3.81,en,wordfreq,5,1.4
altar,3.8,en,wordfreq,1,2.3
alter,4.05,en,wordfreq,2,1.85
altered,4.02,en,wordfreq,0,2.8
alternate,4.11,en,wordfreq,0,3.8
alternative,4.71,en,wordfreq,0,4.35
alternatively,3.81,en,wordfreq,0,5.55
alternatives,4.04,en,wordfreq,0,5.05
although,5.3,en,wordfreq,0,3.75
altitude,3.92,en,wordfreq,1,3.6
altogether,4.07,en,wordfreq,0,4.8
aluminum,4.01,en,wordfreq,0,4.25
alumni,3.89,en,wordfreq,0,3.1
always,5.76,en,wordfreq,0,2.75
am,5.78,en,wordfreq,28,1.0
amanda,4.0,en,wordfreq,0,2.85
amateur,4.22,en,wordfreq,0,3.2
amazed,3.91,en,wordfreq,0,2.9
amazing,5.1,en,wordfreq,0,2.75
amazon,4.55,en,wordfreq,0,2.8
ambassador,4.35,en,wordfreq,0,5.8
amber,3.97,en,wordfreq,0,2.15
ambition,3.91,en,wordfreq,0,2.95
ambitious,3.95,en,wordfreq,0,4.1
ambulance,4.06,en,wordfreq,0,4.15
amen,3.93,en,wordfreq,0,1.95
amended,3.78,en,wordfreq,0,2.85
amendment,4.38,en,wordfreq,0,3.75
amendments,3.79,en,wordfreq,0,4.2
america,5.22,en,wordfreq,0,2.9
american,5.49,en,wordfreq,0,3.2
americans,4.83,en,wordfreq,0,3.55
amid,3.95,en,wordfreq,1,1.85
ammunition,3.91,en,wordfreq,0,4.05
among,5.31,en,wordfreq,1,2.1
amongst,4.31,en,wordfreq,0,3.45
amount,5.13,en,wordfreq,0,2.5
amounts,4.41,en,wordfreq,0,2.75
amp,3.8,en,wordfreq,2,1.6
amsterdam,4.03,en,wordfreq,0,4.6
amusing,3.76,en,wordfreq,0,2.8
amy,4.2,en,wordfreq,2,1.75
an,6.53,en,wordfreq,20,1.0
ana,3.89,en,wordfreq,7,1.35
anal,3.94,en,wordfreq,0,1.9
analyses,3.79,en,wordfreq,2,3.3
analysis,4.91,en,wordfreq,2,3.7
analyst,4.03,en,wordfreq,0,3.25
analysts,3.84,en,wordfreq,2,3.4
analytics,3.77,en,wordfreq,0,3.95
analyze,3.84,en,wordfreq,0,3.35
analyzed,3.9,en,wordfreq,0,3.45
anatomy,3.94,en,wordfreq,0,3.7
ancestors,3.98,en,wordfreq,0,3.8
anchor,4.02,en,wordfreq,0,2.85
ancient,4.68,en,wordfreq,0,2.85
and,7.41,en,wordfreq,8,1.2
anderson,4.36,en,wordfreq,0,3.65
andre,3.85,en,wordfreq,0,1.95
andrea,3.88,en,wordfreq,1,2.65
andrew,4.57,en,wordfreq,1,2.65
andrews,3.93,en,wordfreq,0,2.75
android,4.42,en,wordfreq,0,3.55
andy,4.43,en,wordfreq,0,1.7
angel,4.45,en,wordfreq,1,1.85
angela,4.02,en,wordfreq,1,2.6
angeles,4.73,en,wordfreq,0,2.65
angels,4.26,en,wordfreq,1,2.25
anger,4.42,en,wordfreq,1,1.85
angle,4.38,en,wordfreq,2,1.85
angles,3.9,en,wordfreq,0,2.15
anglo,3.81,en,wordfreq,1,2.45
angry,4.66,en,wordfreq,0,2.55
animal,4.81,en,wordfreq,0,2.7
animals,4.84,en,wordfreq,0,3.25
animated,4.07,en,wordfreq,0,3.15
animation,4.18,en,wordfreq,0,3.3
anime,4.26,en,wordfreq,0,2.0
ankle,3.97,en,wordfreq,1,2.25
ann,4.35,en,wordfreq,6,1.55
anna,4.37,en,wordfreq,1,1.8
anne,4.32,en,wordfreq,1,1.85
annie,3.94,en,wordfreq,0,2.5
anniversary,4.53,en,wordfreq,0,5.45
announce,4.26,en,wordfreq,0,3.45
announced,4.96,en,wordfreq,1,3.5
announcement,4.31,en,wordfreq,0,5.15
announces,3.94,en,wordfreq,1,3.65
announcing,3.87,en,wordfreq,0,4.1
annoyed,3.95,en,wordfreq,0,3.3
annoying,4.4,en,wordfreq,0,3.2
annual,4.94,en,wordfreq,0,2.7
annually,4.16,en,wordfreq,0,3.5
anonymous,4.17,en,wordfreq,0,4.7
another,5.74,en,wordfreq,0,2.75
answer,5.17,en,wordfreq,0,2.75
answered,4.32,en,wordfreq,0,3.4
answering,4.07,en,wordfreq,0,3.6
answers,4.6,en,wordfreq,0,2.85
ant,3.86,en,wordfreq,8,1.3
antenna,3.77,en,wordfreq,0,3.4
anthem,3.91,en,wordfreq,0,2.9
anthony,4.41,en,wordfreq,0,3.25
anti,5.01,en,wordfreq,0,1.95
anticipated,4.08,en,wordfreq,0,4.45
antique,3.86,en,wordfreq,0,3.25
antonio,4.17,en,wordfreq,0,3.65
anxiety,4.45,en,wordfreq,0,3.65
anxious,4.09,en,wordfreq,0,3.35
any,6.07,en,wordfreq,5,1.55
