word,freq_zipf,language,source,n_density,old20,id,length,frequency,condition,set,list,trial
you,6.98,english,wordfreq,4,1.6,29898,3,6.98,high_frequency,80,1,151
taken,5.33,english,wordfreq,4,1.75,26538,5,5.33,high_frequency,24,1,152
eden,3.82,english,wordfreq,2,1.85,8577,4,3.82,low_frequency,74,1,153
arrives,4.11,english,wordfreq,1,2.2,1493,7,4.11,low_frequency,13,1,154
war,5.46,english,wordfreq,24,1.0,29057,3,5.46,high_frequency,41,1,155
close,5.36,english,wordfreq,2,1.65,5005,5,5.36,high_frequency,27,1,156
beg,4.05,english,wordfreq,19,1.0,2450,3,4.05,low_frequency,16,1,157
bro,4.4,english,wordfreq,7,1.35,3425,3,4.4,low_frequency,36,1,158
blade,4.19,english,wordfreq,4,1.75,2805,5,4.19,low_frequency,24,1,159
goes,5.22,english,wordfreq,7,1.55,11524,4,5.22,high_frequency,5,1,160
